ошибка получения данных о процессе Idle: Отказано в доступе.
ID: 4, имя: System, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:41, время CPU: 00:10:02.9531250
ID: 256, имя: Registry, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:39, время CPU: 00:00:03.7812500
ID: 732, имя: smss, приоритет: 11, состояние: True, запуск: 30.12.2024 11:10:41, время CPU: 00:00:00.1093750
ID: 1060, имя: csrss, приоритет: 13, состояние: True, запуск: 30.12.2024 11:10:51, время CPU: 00:00:13.0468750
ID: 1156, имя: wininit, приоритет: 13, состояние: True, запуск: 30.12.2024 11:10:51, время CPU: 00:00:00.0468750
ID: 1276, имя: services, приоритет: 9, состояние: True, запуск: 30.12.2024 11:10:51, время CPU: 00:00:17.3593750
ID: 1312, имя: lsass, приоритет: 9, состояние: True, запуск: 30.12.2024 11:10:51, время CPU: 00:00:29.5781250
ID: 1436, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:01:43.2031250
ID: 1456, имя: fontdrvhost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00
ID: 1504, имя: WUDFHost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0625000
ID: 1608, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:01:05.6093750
ID: 1656, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:02.2812500
ID: 1716, имя: WUDFHost, приоритет: 13, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:52.3281250
ID: 1776, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:02.0468750
ID: 1828, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:01.4062500
ID: 1864, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.2500000
ID: 1872, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.7343750
ID: 1976, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:12.1406250
ID: 2040, имя: IntelCpHDCPSvc, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00
ID: 1088, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0625000
ID: 1152, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:01.5937500
ID: 1324, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0312500
ID: 2148, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:01:03.0781250
ID: 2192, имя: WUDFHost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:13.9218750
ID: 2300, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:06.4062500
ID: 2364, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:02:55.7968750
ID: 2436, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:04.9218750
ID: 2580, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.1875000
ID: 2600, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:11.6250000
ID: 2820, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:03.7187500
ID: 2852, имя: WUDFHost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0312500
ID: 2888, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:03.5156250
ID: 2896, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.2812500
ID: 2984, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0625000
ID: 3016, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0937500
ID: 3144, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.8750000
ID: 3208, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:01.7656250
ID: 3312, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:00.0156250
ID: 3420, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:10:52, время CPU: 00:00:13.6250000
