Процесс 0 (Idle) вызвал ошибку: Отказано в доступе.
ID: 4, Имя: System, Приоритет: 8, Время начала: 05.01.2025 13:12:10, Сколько времени использовался: 01:36:32
ID: 256, Имя: Registry, Приоритет: 8, Время начала: 05.01.2025 13:12:08, Сколько времени использовался: 00:00:05.7812500
ID: 732, Имя: smss, Приоритет: 11, Время начала: 05.01.2025 13:12:10, Сколько времени использовался: 00:00:00.0937500
ID: 1052, Имя: csrss, Приоритет: 13, Время начала: 05.01.2025 13:12:17, Сколько времени использовался: 00:00:45
ID: 1148, Имя: wininit, Приоритет: 13, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.0312500
ID: 1272, Имя: services, Приоритет: 9, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:02:54.5156250
ID: 1304, Имя: lsass, Приоритет: 9, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:03:24.5156250
ID: 1428, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:09:55.3593750
ID: 1448, Имя: fontdrvhost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.0312500
ID: 1500, Имя: WUDFHost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.3281250
ID: 1604, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:08:22
ID: 1648, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:14.1718750
ID: 1708, Имя: WUDFHost, Приоритет: 13, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:10:07.2187500
ID: 1760, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:58
ID: 1816, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:25.2812500
ID: 1848, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:12.0781250
ID: 1856, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:03.7031250
ID: 1976, Имя: IntelCpHDCPSvc, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.0156250
ID: 1988, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.2187500
ID: 2044, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.1250000
ID: 840, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:03:24.7187500
ID: 836, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:14:50.7500000
ID: 2324, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:02.5937500
ID: 2332, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:03:18.4218750
ID: 2368, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:54:36.4687500
ID: 2384, Имя: WUDFHost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:03:08.5468750
ID: 2632, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:31.2812500
ID: 2644, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:37.4531250
ID: 2656, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:01:20.3125000
ID: 2756, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.9843750
ID: 2812, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.7187500
ID: 2824, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:01.4062500
ID: 2916, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:18, Сколько времени использовался: 00:00:00.9531250
ID: 2288, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:14.8125000
ID: 2352, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:02.9687500
ID: 3008, Имя: WUDFHost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:00.2343750
ID: 3140, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:03.8906250
ID: 3292, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:00.3125000
ID: 3412, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:01:24.9843750
ID: 3468, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:14.6875000
ID: 3496, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:00.3125000
ID: 3616, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:03.8125000
ID: 3680, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:06:39.2343750
ID: 3900, Имя: wlanext, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:01:05.9375000
ID: 3908, Имя: conhost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:00.0156250
ID: 3980, Имя: svchost, Приоритет: 8, Время начала: 05.01.2025 13:12:19, Сколько времени использовался: 00:00:01.6406250
